company,company_rating,role,experience_level,skills,location,work_mode,salary_range
Microsoft,3.1,Android Developer,5+ years,"Kotlin, Java, Android SDK","San Francisco, USA",Onsite,110000-170000
KPMG,3.3,Data Engineer,5+ years,"SQL, Spark, ETL","Chennai, India",Onsite,2900000-3000000
Alpha Systems,3.6,iOS Developer,3-5 years,"Swift, iOS SDK","Seattle, USA",Remote,135000-160000
Google,3.1,Data Scientist,1-3 years,"Python, Pandas, ML","Delhi, India",Remote,1330000-2030000
Apple,3.1,Backend Developer,1-3 years,"Python, Java, APIs, Databases","New York, USA",Hybrid,120000-160000
TechHive,3.8,Frontend Developer,0-1 years,"HTML, CSS, JavaScript, React","New York, USA",Remote,150000-165000
Accenture,3.2,QA Automation Engineer,1-3 years,"Selenium, Testing","Hyderabad, India",Remote,950000-3200000
LogicSquare,4.3,SRE,0-1 years,"Linux, Monitoring, Cloud","Mumbai, India",Onsite,830000-3180000
SigmaSoft,4.1,HR Executive,5+ years,"Communication, Management","Chennai, India",Onsite,1750000-2850000
Microsoft,3.8,Android Developer,5+ years,"Kotlin, Java, Android SDK","Seattle, USA",Onsite,160000-170000
DataSpring,3.3,Technical Recruiter,5+ years,"Communication, Management","Pune, India",Hybrid,1350000-1800000
Airbnb,4.2,Android Developer,1-3 years,"Kotlin, Java, Android SDK","Bengaluru, India",Onsite,3300000-3450000
NVIDIA,4.5,QA Automation Engineer,1-3 years,"Selenium, Testing","Chennai, India",Hybrid,1800000-1950000
HCL,4.2,Business Analyst,0-1 years,"Communication, Management","Gurugram, India",Remote,1750000-2600000
Deloitte,3.1,iOS Developer,1-3 years,"Swift, iOS SDK","Bengaluru, India",Remote,1300000-3400000
SigmaSoft,4.8,Data Scientist,3-5 years,"Python, Pandas, ML","New York, USA",Hybrid,114000-134000
PixelWorks,3.0,Android Developer,5+ years,"Kotlin, Java, Android SDK","Hyderabad, India",Remote,1400000-2000000
Alpha Systems,4.4,Full Stack Developer,3-5 years,"React, Node.js, SQL","Delhi, India",Onsite,2150000-2200000
Oracle,3.6,Operations Manager,5+ years,"Communication, Management",Singapore,Onsite,160000-175000
Vertex Solutions,4.4,QA Automation Engineer,1-3 years,"Selenium, Testing","Toronto, Canada",Onsite,90000-105000
Apple,3.0,Android Developer,5+ years,"Kotlin, Java, Android SDK","Mumbai, India",Remote,2500000-3000000
Microsoft,4.3,Java Developer,5+ years,"Java, Spring Boot","Mumbai, India",Remote,1200000-3450000
PixelWorks,4.0,Data Scientist,5+ years,"Python, Pandas, ML",Singapore,Onsite,204000-214000
